queryid	query	source	rank	top	bottom	score	url	result_height
10	wipe cache partition	sogou	5	1006	1127	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919021431/keyword=wipe+cache+partition/id=c03af1c5-3695-4d1d-855b-d146c0987b6f/sec=flJg8ZdL2Re6yywmoNIwZw../dp=1/vr=30010081/tc?pg=webz&clk=6&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3Dpartition%2Bby%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D6%26htindex%3D1%26htdbg%3Didc%253Esjs%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=c03af1c5-3695-4d1d-855b-d146c0987b6f&dp=1&key=wipe+cache+partition&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
11	美女图片	sogou	1	7	321	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919021849/keyword=%E7%BE%8E%E5%A5%B3%E5%9B%BE%E7%89%87/id=9d4412e2-b91d-448f-9be5-ee34aa58026a/sec=toxY8OvMQk0ttx5CYYx2sg../dp=1/vr=21226501/k=%E7%BE%8E%E5%A5%B3/tc?dp=1&key=%E7%BE%8E%E5%A5%B3%E5%9B%BE%E7%89%87&pno=1&g_ut=3&is_per=0&clk=1&url=http%3A%2F%2Fwap.sogou.com%2Fpic%2FsearchList.jsp%3Fkeyword%3D%25E7%25BE%258E%25E5%25A5%25B3&vrid=21226501&wml=1&linkid=0	-1
11	美女图片	sogou	4	670	791	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919021849/keyword=%E7%BE%8E%E5%A5%B3%E5%9B%BE%E7%89%87/id=9d4412e2-b91d-448f-9be5-ee34aa58026a/sec=toxY8OvMQk0ttx5CYYx2sg../dp=1/vr=30010081/tc?pg=webz&clk=5&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E7%25BE%258E%25E5%25A5%25B3%25E5%259B%25BE%25E7%2589%2587%25E5%25A4%25A7%25E5%2585%25A8%25E4%25BB%2580%25E9%2583%25BD%25E4%25B8%258D%25E7%25A9%25BF%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D5%26htindex%3D1%26htdbg%3Didc%253Esjs%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=9d4412e2-b91d-448f-9be5-ee34aa58026a&dp=1&key=%E7%BE%8E%E5%A5%B3%E5%9B%BE%E7%89%87&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
12	oppor9	sogou	5	1275	1396	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919034113/keyword=oppor9/id=f5bd71df-7a7d-48bb-a9a8-36c786271669/sec=75GWywYIlIWSJSDwVF92QQ../dp=1/vr=30010081/tc?pg=webz&clk=5&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3Doppor9%25E5%2592%258Cvivox7%25E5%2593%25AA%25E4%25B8%25AA%25E5%25A5%25BD%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D5%26htindex%3D1%26htdbg%3Didc%253Ebjzw%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=f5bd71df-7a7d-48bb-a9a8-36c786271669&dp=1&key=oppor9&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
13	拔罐之后皮肤很黑是什么情况	sogou	5	1105	1226	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919035907/keyword=%E6%8B%94%E7%BD%90%E4%B9%8B%E5%90%8E%E7%9A%AE%E8%82%A4%E5%BE%88%E9%BB%91%E6%98%AF%E4%BB%80%E4%B9%88%E6%83%85%E5%86%B5/id=28a3baa2-a3b2-47b8-a047-ddc667e7cfe7/sec=3UZpz-UEGffbem7f8yzX9g../dp=1/vr=30010081/tc?pg=webz&clk=6&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E6%258B%2594%25E7%25BD%2590%25E5%2590%258E%25E7%259A%25AE%25E8%2582%25A4%25E7%25B4%25AB%25E9%25BB%2591%25E6%2580%258E%25E4%25B9%2588%25E5%258A%259E%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D6%26htindex%3D1%26htdbg%3Didc%253Ebjzw%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=28a3baa2-a3b2-47b8-a047-ddc667e7cfe7&dp=1&key=%E6%8B%94%E7%BD%90%E4%B9%8B%E5%90%8E%E7%9A%AE%E8%82%A4%E5%BE%88%E9%BB%91%E6%98%AF%E4%BB%80%E4%B9%88%E6%83%85%E5%86%B5&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
14	小说排行榜	sogou	1	7	551	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919045043/keyword=%E5%B0%8F%E8%AF%B4%E6%8E%92%E8%A1%8C%E6%A6%9C/id=0198e5d8-6028-4a0b-b1b4-581749caa3af/sec=8AcYPqnHjAvA2h2XLIx2qw../dp=1/vr=21312301/k=%E5%B0%8F%E8%AF%B4/tc?dp=1&key=%E5%B0%8F%E8%AF%B4%E6%8E%92%E8%A1%8C%E6%A6%9C&pno=1&g_ut=3&is_per=0&clk=1&url=http%3A%2F%2Fk.sogou.com%2Fn%2Fv5%2Ftop%3FchannelName%3Dnovel_top_zuirebang%26f_m%3Dsg1%26gf%3Devr-d-p-i%26v%3D5%26v%3D5&vrid=21312301&wml=1&linkid=0	-1
15	江疏影	sogou	5	1235	1524	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919050946/keyword=%E6%B1%9F%E7%96%8F%E5%BD%B1/id=28d73dc2-3b14-4c6c-85cd-5870fbe746f4/sec=MCCWpo1EKgn1Xass12S43w../dp=1/vr=70048403/k=%E6%B1%9F%E7%96%8F%E5%BD%B1/tc?dp=1&key=%E6%B1%9F%E7%96%8F%E5%BD%B1&pno=1&g_ut=3&is_per=0&clk=5&url=http%3A%2F%2Fweibo.com%2Fu%2F1549364094%3Fwm%3D2466_0002&vrid=70048403&wml=1&linkid=1	-1
16	闵行区农业银行	sogou	5	1076	1197	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919052435/keyword=%E9%97%B5%E8%A1%8C%E5%8C%BA%E5%86%9C%E4%B8%9A%E9%93%B6%E8%A1%8C/id=3af13e00-dc79-4f2e-a4b5-73aa8565229d/sec=I9YeTRM4f6fDYrC40Vollg../dp=1/vr=30010081/tc?pg=webz&clk=5&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E4%25B8%258A%25E6%25B5%25B7%25E5%2586%259C%25E4%25B8%259A%25E9%2593%25B6%25E8%25A1%258C%25E9%2597%25B5%25E8%25A1%258C%25E6%2594%25AF%25E8%25A1%258C%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D5%26htindex%3D1%26htdbg%3Didc%253Ebjzw%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=3af13e00-dc79-4f2e-a4b5-73aa8565229d&dp=1&key=%E9%97%B5%E8%A1%8C%E5%8C%BA%E5%86%9C%E4%B8%9A%E9%93%B6%E8%A1%8C&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
16	闵行区农业银行	sogou	1	7	435	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919052435/keyword=%E9%97%B5%E8%A1%8C%E5%8C%BA%E5%86%9C%E4%B8%9A%E9%93%B6%E8%A1%8C/id=3af13e00-dc79-4f2e-a4b5-73aa8565229d/sec=I9YeTRM4f6fDYrC40Vollg../dp=1/vr=70026613/k=%E9%97%B5%E8%A1%8C%E5%8C%BA%E5%86%9C%E4%B8%9A%E9%93%B6%E8%A1%8C/tc?dp=1&key=%E9%97%B5%E8%A1%8C%E5%8C%BA%E5%86%9C%E4%B8%9A%E9%93%B6%E8%A1%8C&pno=1&g_ut=3&is_per=0&clk=1&url=http%3A%2F%2Ffuwu.wap.sogou.com%2Ff%2Fyinhang%3Ffr%3Dvrindex%23tab%3D0%26bank%3D%25EE%2590%258A%25E5%2586%259C%25E4%25B8%259A%25E9%2593%25B6%25E8%25A1%258C%25EE%2590%258B&vrid=70026613&wml=1&linkid=1	-1
17	金贝辛格	sogou	5	742	863	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919054338/keyword=%E9%87%91%E8%B4%9D%E8%BE%9B%E6%A0%BC/id=3c811757-c931-45a9-9146-31fea9567d1c/sec=xxQGVUmCYV6vjVNrKynQvg../dp=1/vr=30010081/tc?pg=webz&clk=6&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E9%2587%2591%25E8%25B4%259D%25E8%25BE%259B%25E6%25A0%25BC%25E5%2586%2599%25E7%259C%259F%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D6%26htindex%3D1%26htdbg%3Didc%253Ebjzw%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=3c811757-c931-45a9-9146-31fea9567d1c&dp=1&key=%E9%87%91%E8%B4%9D%E8%BE%9B%E6%A0%BC&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
18	海南碧桂园	sogou	3	325	677	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919060407/keyword=%E6%B5%B7%E5%8D%97%E7%A2%A7%E6%A1%82%E5%9B%AD/id=182c778b-f2a3-4454-9c3b-72b390a02f68/sec=9WM9ID7uds1V-fqBLc7K9g../dp=1/vr=11000801/k=%E6%B5%B7%E5%8D%97%20%20%E6%B5%B7%E5%8D%97%E7%A2%A7%E6%A1%82%E5%9B%AD/tc?dp=1&key=%E6%B5%B7%E5%8D%97%E7%A2%A7%E6%A1%82%E5%9B%AD&pno=1&g_ut=3&is_per=0&clk=3&url=http%3A%2F%2Fmap.sogou.com%2F%23uids%3D1_D1000498455141%26c%3D1.2196075E7%2C2200447.0%2C15%26page%3D1%2C10%26ad%3D1%26originurltype%3DWL_VR_Point%26notuseapp%3D1%26appid%3Dsgmea0013&vrid=11000801&wml=1&linkid=0	-1
19	长江水文网	sogou	5	524	614	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919063829/keyword=%E9%95%BF%E6%B1%9F%E6%B0%B4%E6%96%87%E7%BD%91/id=2625c311-9ef0-4a0d-bb6e-e046f0482f02/sec=zdUSlZVijWCA0UJdTzt41A../dp=1/vr=30010081/tc?pg=webz&clk=5&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E5%258D%2597%25E9%2598%25B3%25E9%2592%2593%25E9%25B1%25BC%25E7%25BD%2591%25E8%25AE%25BA%25E5%259D%259B%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D5%26htindex%3D1%26htdbg%3Didc%253Esjs%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=2625c311-9ef0-4a0d-bb6e-e046f0482f02&dp=1&key=%E9%95%BF%E6%B1%9F%E6%B0%B4%E6%96%87%E7%BD%91&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
21	春江花月夜原文	sogou	1	7	159	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919074520/keyword=%E6%98%A5%E6%B1%9F%E8%8A%B1%E6%9C%88%E5%A4%9C%E5%8E%9F%E6%96%87/id=8f15cc75-9094-45ea-bc8f-7c743c61648d/sec=RcHMEqsgMYWYgqx3hcriHA../dp=1/tc?&url=http%3A%2F%2Fso.gushiwen.org%2Fshangxi_2853.aspx&wml=1&linkid=0&kmappv=4_33_4&kmapdisplay=11_2&clk=5	-1
22	天天向商软件官方下载	sogou	5	960	1081	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919081428/keyword=%E5%A4%A9%E5%A4%A9%E5%90%91%E5%95%86%E8%BD%AF%E4%BB%B6%E5%AE%98%E6%96%B9%E4%B8%8B%E8%BD%BD/id=2ea6edf4-3e24-4fc3-bf6b-94c92f229bdc/sec=tjOU396HtLXz3akx3fFwdA../dp=1/vr=30010081/tc?pg=webz&clk=6&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E5%25A4%25A9%25E5%25A4%25A9%25E5%2590%2591%25E5%2595%2586%25E4%25BD%259C%25E5%259B%25BE%25E7%25A5%259E%25E5%2599%25A8%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D6%26htindex%3D1%26htdbg%3Didc%253Ebjzw%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=2ea6edf4-3e24-4fc3-bf6b-94c92f229bdc&dp=1&key=%E5%A4%A9%E5%A4%A9%E5%90%91%E5%95%86%E8%BD%AF%E4%BB%B6%E5%AE%98%E6%96%B9%E4%B8%8B%E8%BD%BD&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
23	笃字的拼音	sogou	1	7	218	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919081515/keyword=%E7%AC%83%E5%AD%97%E7%9A%84%E6%8B%BC%E9%9F%B3/id=e2c6f4ac-8dcc-4b42-a6ec-80d3eae4f530/sec=9liT95SplAm64FQcDswjFQ../dp=1/vr=21221701/k=%E7%AC%83/tc?dp=1&key=%E7%AC%83%E5%AD%97%E7%9A%84%E6%8B%BC%E9%9F%B3&pno=1&g_ut=3&is_per=0&clk=1&url=http%3A%2F%2Fm.dict.cn%2Fhanyu%2Fsearch.php%3Fq%3D%25E7%25AC%2583&vrid=21221701&wml=1&linkid=0	-1
23	笃字的拼音	sogou	4	590	711	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919081515/keyword=%E7%AC%83%E5%AD%97%E7%9A%84%E6%8B%BC%E9%9F%B3/id=e2c6f4ac-8dcc-4b42-a6ec-80d3eae4f530/sec=9liT95SplAm64FQcDswjFQ../dp=1/vr=30010081/tc?pg=webz&clk=5&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E7%25AC%2583%25E8%25BF%2599%25E4%25B8%25AA%25E5%25AD%2597%25E7%259A%2584%25E6%258B%25BC%25E9%259F%25B3%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D5%26htindex%3D1%26htdbg%3Didc%253Esjs%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=e2c6f4ac-8dcc-4b42-a6ec-80d3eae4f530&dp=1&key=%E7%AC%83%E5%AD%97%E7%9A%84%E6%8B%BC%E9%9F%B3&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
